Label,Average Distance-to-Default (ADD),Portfolio Distance-to-Default (PDD),PDD-ADD (Spread),KBE ETF
8/16/2010,2.49,2.786,0.296,22.83
8/17/2010,2.5617,2.876,0.3143,22.85
8/18/2010,2.5904,2.8919,0.3015,22.93
8/19/2010,2.4926,2.8023,0.3097,22.37
8/20/2010,2.5112,2.6954,0.1843,22.29
8/23/2010,2.5446,2.8165,0.2719,22.14
8/24/2010,2.4299,2.654,0.2241,21.67
8/25/2010,2.4206,2.5389,0.1183,21.56
8/26/2010,2.397,2.5268,0.1299,21.45
8/27/2010,2.4784,2.6722,0.1938,21.91
8/30/2010,2.427,2.6256,0.1987,21.39
8/31/2010,2.4082,2.6718,0.2636,21.6
9/1/2010,2.5605,2.8114,0.2508,22.47
9/2/2010,2.5917,2.8466,0.255,22.73
9/3/2010,2.6554,2.9918,0.3364,23.13
9/7/2010,2.6072,2.8422,0.235,22.49
9/8/2010,2.6179,2.9983,0.3804,22.79
9/9/2010,2.677,3.116,0.439,23.16
9/10/2010,2.6828,3.1161,0.4333,23.17
9/13/2010,2.7311,3.2166,0.4855,23.83
9/14/2010,2.7447,3.1786,0.4339,23.56
9/15/2010,2.7534,3.1681,0.4148,23.56
9/16/2010,2.7629,3.1732,0.4103,23.42
9/17/2010,2.766,3.1952,0.4292,23.23
9/20/2010,2.8752,3.1962,0.321,23.76
9/21/2010,2.7879,3.2178,0.43,23.45
9/22/2010,2.7134,3.0901,0.3767,23.04
9/23/2010,2.645,2.8976,0.2526,22.63
9/24/2010,2.7289,3.0415,0.3126,23.27
9/27/2010,2.6814,3.0174,0.3359,22.91
9/28/2010,2.6747,2.9808,0.3061,22.99
9/29/2010,2.6567,3.0403,0.3836,22.88
9/30/2010,2.6803,3.0491,0.3688,22.95
10/1/2010,2.7216,3.1588,0.4372,23.17
10/4/2010,2.6973,3.0922,0.3949,23.09
10/5/2010,2.7679,3.2179,0.4499,23.77
10/6/2010,2.7725,3.2571,0.4845,23.68
10/7/2010,2.7712,3.2601,0.4889,23.58
10/8/2010,2.7873,3.3166,0.5292,23.53
10/11/2010,2.7822,3.2328,0.4506,23.52
10/12/2010,2.821,3.2313,0.4104,23.83
10/13/2010,2.8485,3.3206,0.4721,23.66
10/14/2010,2.6922,3.0261,0.3339,23.04
10/15/2010,2.6747,2.9198,0.2451,22.46
10/18/2010,2.8279,3.0937,0.2658,22.97
10/19/2010,2.7708,3.0699,0.2991,22.89
10/20/2010,2.763,3.0871,0.3241,22.72
10/21/2010,2.8726,3.1709,0.2983,22.765
10/22/2010,2.9773,3.2368,0.2596,22.81
10/25/2010,2.9266,3.2729,0.3463,22.595
10/26/2010,2.8799,3.2373,0.3574,22.63
10/27/2010,2.8762,3.2251,0.3489,22.67
10/28/2010,2.8871,3.2354,0.3482,22.61
10/29/2010,2.8874,3.209,0.3216,22.59
11/1/2010,2.8289,3.1959,0.367,22.48
11/2/2010,2.8581,3.1877,0.3297,22.43
11/3/2010,2.9217,3.2805,0.3588,22.85
11/4/2010,3.027,3.3549,0.3279,23.62
11/5/2010,3.1623,3.4456,0.2833,24.19
11/8/2010,3.0951,3.2783,0.1832,24.05
11/9/2010,3.0556,3.2806,0.225,23.63
11/10/2010,3.0678,3.2368,0.169,24.0175
11/11/2010,2.9951,3.2664,0.2712,23.875
11/12/2010,2.8325,3.0594,0.2269,23.35
11/15/2010,2.9926,3.1777,0.1851,23.5
11/16/2010,2.751,3.0551,0.3042,23.11
11/17/2010,2.7474,3.0801,0.3327,22.72
11/18/2010,2.8027,3.2094,0.4066,22.88
11/19/2010,2.8616,3.191,0.3294,22.88
11/22/2010,2.861,3.2372,0.3762,22.49
11/23/2010,2.7727,3.0754,0.3028,22.1
11/24/2010,2.8291,3.0956,0.2665,22.35
11/26/2010,2.7804,3.2069,0.4265,22.15
11/29/2010,2.7631,3.1688,0.4056,22.41
11/30/2010,2.7197,3.188,0.4682,22.26
12/1/2010,2.807,3.2116,0.4046,22.76
12/2/2010,2.9673,3.215,0.2478,23.65
12/3/2010,3.0256,3.384,0.3584,23.89
12/6/2010,3.0152,3.5001,0.4849,23.78
12/7/2010,3.0449,3.4948,0.4499,23.79
12/8/2010,3.0778,3.4164,0.3386,24.44
12/9/2010,3.1421,3.5452,0.4031,25.05
12/10/2010,3.1695,3.4983,0.3288,25.31
12/13/2010,3.1301,3.5071,0.377,25.2
12/14/2010,3.0927,3.4371,0.3444,24.81
12/15/2010,3.0606,3.3496,0.289,24.54
12/16/2010,3.0951,3.3826,0.2876,24.59
12/17/2010,3.3629,3.5134,0.1504,24.88
12/20/2010,3.4373,3.5931,0.1558,25
12/21/2010,3.4987,3.8374,0.3387,25.49
12/22/2010,3.4622,3.6496,0.1874,26.0671
12/23/2010,3.3972,3.6128,0.2156,25.7
12/27/2010,3.3204,3.5713,0.251,25.97
12/28/2010,3.331,3.5033,0.1724,26.1
12/29/2010,3.3466,3.5585,0.2119,26.01
12/30/2010,3.3305,3.5305,0.1999,25.93
12/31/2010,3.3096,3.493,0.1834,25.91
1/3/2011,3.3351,3.4733,0.1382,26.5
1/4/2011,3.3259,3.4493,0.1234,26.4225
1/5/2011,3.3599,3.5205,0.1607,26.81
1/6/2011,3.3224,3.5302,0.2078,26.48
1/7/2011,3.2781,3.5427,0.2647,26.23
1/10/2011,3.2403,3.5336,0.2933,26.19
1/11/2011,3.2785,3.7178,0.4393,26.32
1/12/2011,3.3547,3.6618,0.3071,26.7225
1/13/2011,3.3353,3.6779,0.3425,26.55
1/14/2011,3.4165,3.6151,0.1986,27.14
1/18/2011,3.406,3.7156,0.3096,26.89
1/19/2011,3.3703,3.6675,0.2972,26.22
1/20/2011,3.4005,3.7714,0.371,26.18
1/21/2011,3.4898,3.8679,0.3781,26.61
1/24/2011,3.552,3.7411,0.1891,26.34
1/25/2011,3.5464,3.5839,0.0375,26.3075
1/26/2011,3.6083,3.5359,-0.0724,26.16
1/27/2011,3.6534,3.9172,0.2637,26.46
1/28/2011,3.5463,3.7685,0.2222,26.04
1/31/2011,3.5617,3.6386,0.0769,26.32
2/1/2011,3.6531,3.646,-0.007,26.96
2/2/2011,3.6552,3.7911,0.1359,26.8075
2/3/2011,3.6338,3.7851,0.1513,26.8975
2/4/2011,3.6372,3.8716,0.2344,26.905
2/7/2011,3.6859,3.959,0.273,27.285
2/8/2011,3.7221,4.1013,0.3791,27.4975
2/9/2011,3.661,4.0061,0.3451,27.19
2/10/2011,3.6473,3.939,0.2917,27.08
2/11/2011,3.7068,4.0474,0.3406,27.6175
2/14/2011,3.7142,4.0624,0.3482,27.62
2/15/2011,3.7317,3.9876,0.2559,27.52
2/16/2011,3.7701,4.0776,0.3075,27.62
2/17/2011,3.7484,4.064,0.3155,27.38
2/18/2011,3.7825,3.8782,0.0957,27.415
2/22/2011,3.4464,3.7346,0.2882,26.47
2/23/2011,3.4087,3.5735,0.1649,26.42
2/24/2011,3.3764,3.5219,0.1455,26.245
2/25/2011,3.475,3.6574,0.1824,26.63
2/28/2011,3.524,3.5608,0.0368,26.5
3/1/2011,3.4448,3.5388,0.094,25.92
3/2/2011,3.4396,3.6034,0.1638,25.87
3/3/2011,3.5433,3.7567,0.2134,26.375
3/4/2011,3.4531,3.7068,0.2537,25.98
3/7/2011,3.413,3.675,0.2619,25.78
3/8/2011,3.5409,3.7247,0.1838,26.48
3/9/2011,3.5407,3.7451,0.2044,26.49
3/10/2011,3.4289,3.5807,0.1518,25.88
3/11/2011,3.4712,3.6774,0.2062,26.12
3/14/2011,3.396,3.6493,0.2532,25.9
3/15/2011,3.3444,3.5681,0.2238,25.69
3/16/2011,3.1935,3.3977,0.2042,25.3
3/17/2011,3.2958,3.4506,0.1547,25.65
3/18/2011,3.4159,3.5819,0.166,25.81
3/21/2011,3.5809,3.7482,0.1674,25.815
3/22/2011,3.6003,3.6615,0.0612,25.68
3/23/2011,3.6195,3.7149,0.0954,25.52
3/24/2011,3.6788,3.7422,0.0634,25.6
3/25/2011,3.7518,3.8029,0.0511,25.71
3/28/2011,3.7252,3.7952,0.07,25.63
3/29/2011,3.7597,3.8132,0.0535,25.69
3/30/2011,3.8406,4.0081,0.1676,25.9
3/31/2011,3.8414,3.9697,0.1283,25.82
4/1/2011,3.9007,4.0531,0.1524,26.04
4/4/2011,3.8905,4.1618,0.2713,26.03
4/5/2011,3.9538,4.1996,0.2458,26.03
4/6/2011,4.008,4.1856,0.1776,26.43
4/7/2011,3.9652,4.2087,0.2435,26.3
4/8/2011,3.946,4.1346,0.1886,26.08
4/11/2011,3.9918,4.1078,0.116,26.025
4/12/2011,3.9805,4.0736,0.093,25.99
4/13/2011,3.9952,4.0589,0.0637,25.7
4/14/2011,3.9761,3.9525,-0.0237,25.46
4/15/2011,4.0547,4.0039,-0.0508,25.4
4/18/2011,4.0172,3.9208,-0.0965,25.1
4/19/2011,3.9397,4.0046,0.0649,25.11
4/20/2011,4.0364,4.1336,0.0972,24.99
4/21/2011,4.1574,4.1474,-0.0101,25.09
4/25/2011,4.1384,4.1697,0.0313,25.1
4/26/2011,4.1096,4.1449,0.0354,25.3
4/27/2011,4.1869,4.346,0.1592,25.56
4/28/2011,4.1852,4.4268,0.2416,25.68
4/29/2011,4.197,4.4632,0.2662,25.61
5/2/2011,4.143,4.5099,0.3669,25.54
5/3/2011,4.0872,4.3639,0.2766,25.75
5/4/2011,4.0315,4.2885,0.257,25.55
5/5/2011,3.9335,4.3762,0.4426,25.19
5/6/2011,3.9646,4.3446,0.38,25.21
5/9/2011,3.9742,4.4641,0.4899,25.16
5/10/2011,4.0616,4.382,0.3204,25.38
5/11/2011,4.0104,4.3175,0.3071,25.15
5/12/2011,3.979,4.2677,0.2887,25.08
5/13/2011,3.8986,4.2784,0.3798,24.63
5/16/2011,3.8726,4.1382,0.2656,24.669
5/17/2011,3.9353,4.184,0.2487,25.07
5/18/2011,4.0493,4.2771,0.2277,25.14
5/19/2011,4.0907,4.1782,0.0875,25.16
5/20/2011,4.1675,4.3145,0.147,24.75
5/23/2011,4.0561,4.2759,0.2198,24.38
5/24/2011,4.0299,4.0068,-0.0231,24.35
5/25/2011,4.0891,4.1987,0.1096,24.335
5/26/2011,4.1296,4.2725,0.1429,24.42
5/27/2011,4.2042,4.1369,-0.0673,24.77
5/31/2011,4.2437,4.0366,-0.2071,24.95
6/1/2011,3.9616,4.0476,0.0861,23.93
6/2/2011,3.9638,4.1688,0.205,23.97
6/3/2011,3.9071,4.3475,0.4404,23.75
6/6/2011,3.7383,3.9046,0.1663,23.26
6/7/2011,3.8221,3.9616,0.1395,23.235
6/8/2011,3.7223,3.8308,0.1085,23.1
6/9/2011,3.8384,3.9688,0.1304,23.38
6/10/2011,3.7363,3.7757,0.0393,23.28
6/13/2011,3.7533,3.874,0.1207,23.52
6/14/2011,3.8412,3.8785,0.0373,23.65
6/15/2011,3.6277,3.7843,0.1567,23.27
6/16/2011,3.4886,3.6058,0.1172,23.37
6/17/2011,3.5514,3.4159,-0.1355,23.56
6/20/2011,3.5856,3.5797,-0.0059,23.43
6/21/2011,3.6801,3.6747,-0.0054,23.69
6/22/2011,3.6827,3.7824,0.0998,23.48
6/23/2011,3.5444,3.6224,0.078,23.24
6/24/2011,3.5199,3.6686,0.1487,22.99
6/27/2011,3.55,3.6426,0.0926,23.32
6/28/2011,3.5616,3.8855,0.3239,23.36
6/29/2011,3.7338,3.9973,0.2635,23.94
6/30/2011,3.8423,4.0784,0.2361,23.99
